Region,Country,IndexCode,IndexName
Asian Pacific,Japan,TPX:IND,Tokyo Stock Exchange
Asian Pacific,China,SHCOMP:IND,Shanghai Stock Exchange Composite Index
Asian Pacific,Hong Kong,HSI:IND,Hang Seng Index
Asian Pacific,South Korea,KOSPI:IND,South Korea kospi Index
Asian Pacific,India,BSE500:IND,Bombay Stock Exchange
Asian Pacific,Taiwan,TWSE:IND,Taiwan Stock Exchange
Asian Pacific,Malaysia,FBMKLCI:IND,FTSE Kuala Lumpur Composite Index
Asian Pacific,Indonesia,JCI:IND,
Asian Pacific,Singapore,FSTAS:IND,
Asian Pacific,Thailand,SET:IND,
Asian Pacific,Vietnam,VNINDEX:IND,
Asian Pacific,Bangladesh,DSEX:IND,
Asian Pacific,Philippines,PCOMP:IND,
Asian Pacific,Sri Lanka,CSEALL:IND,
American ,United States,INDU:IND,
American ,Argentina,MERVAL:IND,
American ,Brazil,IBX:IND,
American ,Mexico,INMEX:IND,
American ,Canada,SPTSX:IND,
American ,Venezuela,IBVC:IND,
American ,Colombia,COLCAP:IND,
Europe,Europe,SXXP:IND,
Europe,United Kingdom,UKX:IND,
Europe,Denmark,KAX:IND,
Europe,Poland,WIG:IND,
Europe,France,SBF250:IND,
Europe,Turkey,XU100:IND,
Europe,Germany,DAX:IND,
Europe,Ukraine,PFTS:IND,
Europe,Switzerland,SMI:IND,
Africa,South Africa,JALSH:IND,
Africa,Kenya,NSEASI:IND,
Africa,Kuwait,KWSEMM:IND,
Africa,Serbia,BELEXLIN:IND,
Africa,Israel,TA-125:IND,
Africa,Saudi Arabia,SASEIDX:IND,

